n,events,non_events,responders,prevalence,p_base,p_event,p_fisher,or,ci.low,ci.high
40,20,20,9,0.5,0.4,0,0.00122850122850123,0,0,0.357086222061446
40,0,40,,0.01,0.2,0.4,1,,,
40,5,35,12,0.05,0.2,0.4,0.0222672064777328,12.4511961884929,1.04675435399693,685.316472726621
40,3,37,10,0.1,0.2,0.4,0.148785425101215,6.79741538388367,0.31697085506112,440.48679563207
40,11,29,9,0.3,0.2,0.4,0.0834370554765291,4.94771509636059,0.800481310892683,34.078398264733
40,15,25,6,0.5,0.2,0.4,0.653955575008207,1.80451360651511,0.208437749828063,15.6865820538754
40,1,39,11,0.01,0.2,0.2,1,0,0,102.654867256638
40,4,36,11,0.05,0.2,0.2,0.300306379253748,2.9046984957254,0.185608455342485,45.6338720132907
40,3,37,4,0.1,0.2,0.2,0.277327935222672,5.26030057599563,0.0722021008520254,133.719157369746
40,13,27,3,0.3,0.2,0.2,0.538157894736842,0,0,5.0604942630743
40,18,22,5,0.5,0.2,0.2,1,0.796255368007771,0.0595670334794539,7.88010279000421
40,0,40,,0.01,0.2,0.1,1,,,
40,2,38,4,0.05,0.2,0.1,1,0,0,53.1157477507679
40,5,35,8,0.1,0.2,0.1,1,1,0.0177951967124884,12.5109246514652
40,12,28,10,0.3,0.2,0.1,1,1,0.135990586944706,5.77423530015513
40,20,20,6,0.5,0.2,0.1,1,1,0.116692444330232,8.5695351206293
40,0,40,,0.01,0.2,0.01,1,,,
40,0,40,,0.05,0.2,0.01,1,,,
40,6,34,4,0.1,0.2,0.01,1,0,0,9.50843649996965
40,11,29,9,0.3,0.2,0.01,0.0433075684043176,0,0,1.15940928571302
40,20,20,2,0.5,0.2,0.01,0.487179487179487,0,0,5.2804688784301
40,1,39,9,0.01,0.2,0,1,0,0,134.054054054053
40,4,36,7,0.05,0.2,0,1,0,0,7.68598529136529
40,1,39,9,0.1,0.2,0,1,0,0,134.054054054053
40,18,22,4,0.3,0.2,0,0.113524455629719,0,0,1.75943125054574
40,22,18,5,0.5,0.2,0,0.0130211182842762,0,0,0.778932306833589
60,1,59,23,0.01,0.4,0.4,1,0,0,62.6786659608276
60,2,58,23,0.05,0.4,0.4,1,1.62240779687506,0.0199484221665779,131.819912210869
